_id,name_mm,election_year
5f3f90ccdf8e3c1f74099843,ဦးတင်မောင်၀င်း,2012
5f3f90ccdf8e3c1f74099844,ဦးဘိုမြင့်အောင်,2012
5f3f90ccdf8e3c1f74099846,ဦးလှဆန်း,2012
5f3f90ccdf8e3c1f74099847,ဦးချစ်ဟန်,2012
5f3f90ccdf8e3c1f74099845,ဒေါက်တာမြင့်နိုင်,2012
5f3f90ccdf8e3c1f74099848,ဦးတင်မြ,2012
5f3f90ccdf8e3c1f74099849,ဦးမာကျင်,2012
5f3f90ccdf8e3c1f7409984a,ဦးမင်းဦး,2012
5f3f90ccdf8e3c1f7409984b,ဒေါ်သန်းသန်းနွဲ့,2012
5f3f90ccdf8e3c1f7409984c,ဦးမောင်မောင််ဝင်း,2012
5f3f90ccdf8e3c1f7409984d,ဦးမောင်ဝင်း,2012
5f3f90ccdf8e3c1f7409984e,ဦးအောင်ကြည်ညွန့်,2012
5f3f90ccdf8e3c1f7409984f,ဦးအောင်သန်းတင့်,2012
5f3f90ccdf8e3c1f74099850,ဦးစိုင်းစံမင်း,2012
5f3f90ccdf8e3c1f74099851,ဦးစိုင််းမြင့်မောင်,2012
5f3f90ccdf8e3c1f74099852,ဒေါ်နန်းကိန်ဖောင်းတစ်,2012
5f3f90ccdf8e3c1f74099853,ဦးယောသပ်,2012
5f3f90ccdf8e3c1f74099854,ဦးလော်ဆင်ကွမ်း,2012
5f3f90ccdf8e3c1f74099855,ဦးမင်းသိန်းလှ,2012
5f3f90ccdf8e3c1f74099856,ဦးသိန်းဌေး,2012
5f3f90ccdf8e3c1f74099857,ဦးသိမ်းဆွေ,2012
5f3f90ccdf8e3c1f74099858,ဦးအေးကြိုင်,2012
5f3f90ccdf8e3c1f74099859,ဦးခင်မောင်သိန်း,2012
5f3f90ccdf8e3c1f7409985a,ဦးစိုးနိုင်,2012
5f3f90ccdf8e3c1f7409985b,ဒေါ်ခင်စန်းလှိုင်,2012
5f3f90ccdf8e3c1f7409985c,ဦးဌေးနိုင်,2012
5f3f90ccdf8e3c1f7409985d,ဦးဟိန်းထက်အောင်,2012
5f3f90ccdf8e3c1f7409985e,ဒေါ်ခင်မွှေးလွင်,2012
5f3f90ccdf8e3c1f7409985f,ဒေါက်တာဆန်းဝင်း,2012
5f3f90ccdf8e3c1f74099860,ဦးဌေးအောင်,2012
5f3f90ccdf8e3c1f74099861,ဦးချစ်သန်း,2012
5f3f90ccdf8e3c1f74099862,‌ဒေါ်တင်တင်ရီ,2012
5f3f90ccdf8e3c1f74099863,ဦးစိမ်းမောင်,2012
5f3f90ccdf8e3c1f74099864,ဦးအောင်စိုး,2012
5f3f90ccdf8e3c1f74099865,ဒေါက်တာဝေဝေသာ,2012
5f3f90ccdf8e3c1f74099866,ဦးဝင်းထွန်း,2012
5f3f90ccdf8e3c1f74099867,ဦးအောင်စိုးမြင့်,2012
5f3f90ccdf8e3c1f74099868,ဦးကျော်ကျော်ဦး,2012
5f3f90ccdf8e3c1f74099869,ဦးစိန်ထွန်း,2012
5f3f90ccdf8e3c1f7409986a,ဦးတင်ဝင်း,2012
5f3f90ccdf8e3c1f7409986b,ဦးသက်ဦး,2012
5f3f90ccdf8e3c1f7409986c,ဦးကျော်မင်း,2012
5f3f90ccdf8e3c1f7409986d,ဒေါ်နန်းကြူသန်းဝင်း,2012
5f3f90ccdf8e3c1f7409986e,ဦးဝင်းလှိုင်,2012
5f3f90ccdf8e3c1f7409986f,ဦးအောင်သိန်း,2012
5f3f90ccdf8e3c1f74099870,ဦးစိန်ထူး,2012
5f3f90ccdf8e3c1f74099871,ဦးမြင့်ဦး,2012
5f3f90ccdf8e3c1f74099872,ဦးသန်းလှိုင်,2012
5f3f90ccdf8e3c1f74099873,ဦးကျော်တင့်,2012
5f3f90ccdf8e3c1f74099874,ဦးပိုက်ကို,2012
5f3f90ccdf8e3c1f74099875,ဦးကျော်စွာစိုး,2012
5f3f90ccdf8e3c1f74099876,ဦးတင့်လွင်,2012
5f3f90ccdf8e3c1f74099877,ဦးတင့်လွင်,2012
5f3f90ccdf8e3c1f74099878,ဒေါက်တာအောင်မိုးညို,2012
5f3f90ccdf8e3c1f74099879,ဦးခင်မောင်ကြည်(ခ) ဦးကျော်စိန်ဟန်,2012
5f3f90ccdf8e3c1f7409987a,ဦးမြင့်သိန်း,2012
5f3f90ccdf8e3c1f7409987b,ဦးလှမြင့်,2012
5f3f90ccdf8e3c1f7409987c,ဦးအောင်သိန်းကျော်,2012
5f3f90ccdf8e3c1f7409987d,ဦးကျော်မြင့်သန်း,2012
5f3f90ccdf8e3c1f7409987e,ဦးမြင့်အောင်,2012
5f3f90ccdf8e3c1f7409987f,ဦးတိုးရွှေ(ခ) ဦးတင်ဌေးအောင်,2012
5f3f90ccdf8e3c1f74099880,ဦးဘိုးဝင်း,2012
5f3f90ccdf8e3c1f74099881,ဦးဟန်ရှင်ဝင်း,2012
5f3f90ccdf8e3c1f74099882,‌ဒေါ်စန္ဒာမင်း,2012
5f3f90ccdf8e3c1f74099883,ဦးဝင်းဌေး,2012
5f3f90ccdf8e3c1f74099884,ဦးနိုင်ငံလင်း,2012
5f3f90ccdf8e3c1f74099885,ဦးမောင်ရှိန်,2012
5f3f90ccdf8e3c1f74099886,ဦးဖြိုးဇေယျာသော်(ခ)ဇေယျာသော်,2012
5f3f90ccdf8e3c1f74099887,ဦးမြင့်လွင်သိန်း,2012
5f3f90ccdf8e3c1f74099888,ဝဏ္ဏကျော်ထင်စည်သူဦးသာဌေး,2012
5f3f90ccdf8e3c1f74099889,ဦးကြည်မြင့်,2012
5f3f90ccdf8e3c1f7409988a,ဦးမင်းသူ,2012
5f3f90ccdf8e3c1f7409988b,ဦးလှသိန်းဆွေ,2012
5f3f90ccdf8e3c1f7409988c,ဒေါ်ခင်သန္တာ,2012
5f3f90ccdf8e3c1f7409988d,ဦးဆန်းထွန်း,2012
5f3f90ccdf8e3c1f7409988e,ဦးနန်းထိုက်ဇော်,2012
5f3f90ccdf8e3c1f7409988f,ဦးအောင်မွန်,2012
5f3f90ccdf8e3c1f74099890,ဒေါက်တာဇော်မြင့်မောင်,2012
5f3f90ccdf8e3c1f74099891,ဦးအောင်ဝင်းကြည်,2012
5f3f90ccdf8e3c1f74099892,ဦးစိုးနိုင်ဝင်း,2012
5f3f90ccdf8e3c1f74099893,ဦးပေါခင်,2012
5f3f90ccdf8e3c1f74099894,ဦးအောင်သန်း,2012
5f3f90ccdf8e3c1f74099895,ဦးကျော်ကျော်,2012
5f3f90ccdf8e3c1f74099896,ဦးစိန်လှ,2012
5f3f90ccdf8e3c1f74099897,ဦးညွန့်ဦး,2012
5f3f90ccdf8e3c1f74099898,ဦးထွန်းကြည်,2012
5f3f90ccdf8e3c1f74099899,ဦးလှကို,2012
5f3f90ccdf8e3c1f7409989a,‌‌‌‌‌‌ဒေါက်တာသန်းထိုက်ဦး,2012
5f3f90ccdf8e3c1f7409989b,ဦးသန်းထွန်း,2012
